title	description	snippet		Typology			Potential Categories	
"""Doonesbury"" cartoonist Garry Trudeau"	In a first for	"""Doonesbury"" cartoonist Garry Trudeau In a first for ""Sunday Morning,"" host Jane Pauley interviews her husband, the Pulitzer Prize-winning cartoonist Garry Trud..."					Travels	1
Canada’s Justin Trudeau resigns	The resignation of Justin Trudeau comes amid the worst political crisis of his nine-year term as Canada’s prime minister	"The move comes amid the worst political crisis of his nine-year term as the country’s prime minister

Canadian Prime Minister Justin Trudeau said that he will..."		Resignation			Dating Life	30
Trudeau finished	"Canadian PM Justin Trudeau is finished - either this week, or at the election. Any tiny chance of victory has disappeared with the dramatic resignation of not j..."	"Canadian PM Justin Trudeau is finished – either this week, or at the election.

Any tiny chance of victory has disappeared with the dramatic resignation of no..."		Canadian Politics			Resignation	22
Canada's Trudeau announces resignation	Canadian Prime Minister Justin Trudeau is stepping down after nearly a decade in office	"What happened

Canadian Prime Minister Justin Trudeau announced Monday that he is stepping down after nearly a decade in office, as soon as his Liberal Party pi..."		Resignation			Foreign Politics	0
Justin Trudeau Might Be the Only One Who Still Believes in Justin Trudeau	When stubbornness becomes a political strategy	"“Trudeau must go or party beaten, Liberal MPs state,” went the Globe and Mail headline.

It was August of 1983, and everyone knew that Pierre Elliot Trudeau..."		Canadian Politics			Canadian Politics	23
Trump calls Trudeau ‘a loser’	The US president has claimed that “loser” Justin Trudeau has done a bad job governing Canada	"The outgoing prime minister has ruined his country with “Marxist policies,” the US president claimed

Canadian Prime Minister Justin Trudeau is “a loser?..."		US-Trump Politics			US-Trump politics	18
"Sophie Grégoire Trudeau Breaks Silence on Justin Trudeau, Katy Perry Romance"	"Justin Trudeau’s estranged wife Sophie Grégoire Trudeau spoke about her ex’s life in the public eye following their separation in 2023, including his rumor..."	"Watch : Justin Trudeau Subtly References Katy Perry With Fintastic Halloween Costume

Sophie Grégoire Trudeau is keeping her priorities straight.

The motivati..."		Dating Life			Controversies	1
Trudeau Trump Meeting: Old video of Trudeau mocking Trump viral as Canada PM dines with President-elect	US News: A 2019 video of Justin Trudeau mocking Donald Trump has gone viral as the Canadian PM flew to Florida to meet President-elect Trump following Trump's	"Justin Trudeau was with Donald Trump at Mar-a-Lago dining together.

The 2019 video of Justin Trudeau mocking Donald Trump to an audience that included Emmanuel..."		US-Trump Politics				
Former Canadian PM Trudeau visits Valais mountains	Former Canadian Prime Minister Justin Trudeau explores Zermatt with his son.	"Former Canadian PM Trudeau visits Valais mountains

Canadian ex-Prime Minister Justin Trudeau enjoys a mountain tour in Valais Keystone-SDA

Listen to the artic..."		Travels				
Justin Trudeau Is a KatyCat	Former Canadian prime minister Justin Trudeau gleefully sang along to ‘Firework’ at Katy Perry’s ‘Lifetimes’ tour stop in Montreal.	"Photo-Illustration: by The Cut; Photos: Getty Images

Well, well, well, look who was in the audience at the Lifetimes tour. Days after former Canadian prime min..."		Dating Life				
Trudeau blasts Trump’s ‘dumb’ tariffs	Canadian Prime Minister Justin Trudeau has condemned US President Donald Trump for imposing tariffs on Canadian imports	"America’s 25% levies on Canadian goods are unjustified, the prime minister said

US President Donald Trump’s decision to slap Canada with tariffs was comple..."		US-Trump Politics				
Trudeau Trump Meeting: Trump says meeting with Trudeau was very productive: 'I made it very clear that...'	US News: Donald Trump described his meeting with Justin Trudeau as very productive while Trudeau said he had an excellent conversation with Trump. Trudeau flew	"Justin Trudeau dined with Donald Trump at Mar-a-Lago Friday.

President-elect Donald Trump said his meeting with Canadian Prime Minister Justin Trudeau was very..."		US-Trump Politics				
Canada's Prime Minister Justin Trudeau resigns	"In power since 2015, Trudeau said he would resign after a new leader of his Liberal Party is chosen."	"Canada's Prime Minister Justin Trudeau resigns

Watch: Moment Justin Trudeau resigns as Canadian prime minister

Trudeau's personal unpopularity with Canadians ..."		Resignation				
