title,description,Typology,Potential Categories
Canada?s Justin Trudeau resigns,The resignation of Justin Trudeau comes amid the worst political crisis of his nine-year term as Canada?s prime minister,Resignation,Personal Life
Trudeau finished,"Canadian PM Justin Trudeau is finished - either this week, or at the election. Any tiny chance of victory has disappeared with the dramatic resignation of not j…",Canadian Politics,Resignation
Canada's Trudeau announces resignation,Canadian Prime Minister Justin Trudeau is stepping down after nearly a decade in office,Resignation,International Politics
Justin Trudeau Might Be the Only One Who Still Believes in Justin Trudeau,When stubbornness becomes a political strategy,Canadian Politics,Canadian Politics
Trump calls Trudeau ?a loser?,The US president has claimed that ?loser? Justin Trudeau has done a bad job governing Canada,US Relations,US Relations
"Sophie Gr‚goire Trudeau Breaks Silence on Justin Trudeau, Katy Perry Romance","Justin Trudeau?s estranged wife Sophie Gr‚goire Trudeau spoke about her ex?s life in the public eye following their separation in 2023, including his rumor...",Personal Life,
Trudeau Trump Meeting: Old video of Trudeau mocking Trump viral as Canada PM dines with President-elect,US News: A 2019 video of Justin Trudeau mocking Donald Trump has gone viral as the Canadian PM flew to Florida to meet President-elect Trump following Trump's,US Relations,
Former Canadian PM Trudeau visits Valais mountains,Former Canadian Prime Minister Justin Trudeau explores Zermatt with his son.,Personal Life,
Justin Trudeau Is a KatyCat,Former Canadian prime minister Justin Trudeau gleefully sang along to ?Firework? at Katy Perry?s ?Lifetimes? tour stop in Montreal.,Personal Life,
Trudeau blasts Trump?s ?dumb? tariffs,Canadian Prime Minister Justin Trudeau has condemned US President Donald Trump for imposing tariffs on Canadian imports,US Relations,
Trudeau Trump Meeting: Trump says meeting with Trudeau was very productive: 'I made it very clear that...',US News: Donald Trump described his meeting with Justin Trudeau as very productive while Trudeau said he had an excellent conversation with Trump. Trudeau flew,US Relations,
Canada's Prime Minister Justin Trudeau resigns,"In power since 2015, Trudeau said he would resign after a new leader of his Liberal Party is chosen.",Resignation,
Canadian PM Justin Trudeau Announces his Resignation,"Canadian Prime Minister Justin Trudeau has announced his resignation, telling the nation that ?internal battles? mean he ?cannot be the best option? in ...",Resignation,
Trump takes jab at 'governor' Trudeau,The president-elect referred to the 'great state' of Canada in a social media post.,US Relations,
"What? Justin Trudeau reunites with ex-wife Sophie Gr‚goire Trudeau and kids, after pictures with Katy Perry go viral-- Here's why","Justin Trudeau is reportedly dating Katy Perry, with intimate yacht photos fueling romance rumors. Amidst this, he reunited with ex-wife Sophie Gr‚goi",Personal Life,
Justin Trudeau and Katy Perry Dating Rumor,Justin Trudeau and Katy Perry Dating Rumor refers to a rumored relationship between former Canadian Prime Minister Justin Trudeau and American pop singer K,Personal Life,
Watch: Profile | Canadian Prime Minister Justin Trudeau,"Justin Trudeau resigned as Canada?s Prime Minister and Liberal Party leader on January 6th, 2025. His announcement came amid rising discontent over his leader...",Resignation,
Are Katy Perry and Justin Trudeau dating?,Photos of pop star and ex Canadian PM getting cosy on a yacht spark social media frenzy,Personal Life,
Trudeau may quit as Canadian PM ? media,Justin Trudeau is reportedly expected to step down as Liberal Party leader due to policy disputes,Resignation,
Justin Trudeau: Justin Trudeau trolled for 2011's 'porn site QR code problem' post. Here's what happened back then,US News: Canadian Prime Minister Justin Trudeau's 2011 social media post about a QR code mishap resurfaced amidst criticism of his attendance at a Taylor Swift,Personal Life,
Trudeau removes himself from the equation,"In announcing his intention to step away now, the prime minister creates two challenges ?ÿone for himself and one for his successor.",Resignation,
Katy Perry Reportedly Finds Justin Trudeau ?Attractive?,"A new report concerning dating rumors surrounding Justin Trudeau and Katy Perry has emerged. It alleges the pair has an ""easy connection.""",Personal Life,
Diplo Trolls Internet With Suspicious Justin Trudeau Selfie,"Diplo shares a selfie with Justin Trudeau and Katy Perry, as a playful jab at his former flame and her new partner.",Personal Life,
Is Justin Trudeau about to resign?,"Over the last two weeks, Prime Minister Justin Trudeau has faced new and growing calls to resign. Could he finally step down this week?",Resignation,
Canadian Prime Minister Justin Trudeau wins second term,Canadian Prime Minister Justin Trudeau won a second term Monday. Trudeau faced a close race against conservative Andrew Scheer following a series of scandals la...,Canadian Politics,
Canada's PM Justin Trudeau to step down,The embattled prime minister will leave office once a new leader is chosen.,Resignation,
"Katy Perry, Justin Trudeau Seen Kissing on Yacht",Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau were seen engaging in some hot and heavy PDA while on the,Personal Life,
Trudeau exit shakes up Canadian politics,"OTTAWA - Justin Trudeau is resigning after more than nine years as Canada?s prime minister, bowing to dreadful polls and a rebellion within his governing Libe...",Resignation,
Trump Trolls Justin Trudeau After Canadian Finance Minister Resigns,President-elect Donald Trump trolled Canadian Prime Minister Justin Trudeau after Finance Minister Chrystia Freeland resigned.,US Relations,
"Assessing the Trudeau record, real and imagined",Declining support for the Liberal Party should not be confused with declining support for progressive policies that create communities where all can thrive.,Canadian Politics,
Trudeau reports ?excellent conversation? with Trump,Canadian Prime Minister Justin Trudeau says he has had an ?excellent conversation? with Donald Trump at his Mar-a-Lago club following the US president-elect...,US Relations,
Trudeau faces political crisis as Chrystia Freeland resigns,"In a letter to Trudeau, Chrystia Freeland said, ?For the last number of weeks, you and I have found ourselves at odds over the best path forward for Canada.?...",Canadian Politics,
"Trudeau prorogues Parliament, resigns as Liberal Party leader",Conservative Leader Pierre Poilievre has repeatedly stated that Trudeau lost government control and repeated calls for an election.,Resignation,
"Justin Trudeau: The Good, the Bad, and the Ugly","By quitting, Trudeau might just save the Liberals from an epic electoral disaster.",Resignation,
