title,description
Will Trudeau resign? All eyes on his political future as pressure mounts - National,Monday could mark a historic week in Canadian politics if the growing chorus calling for the resignation of Prime Minister Justin Trudeau gets its way.
Canada's Trudeau announces resignation after nearly a decade as prime minister,"Canadian Prime Minister Justin Trudeau announced his resignation Monday after nearly a decade in power, bowing to rising discontent over his leadership and grow..."
"FIRST READING: The Trump cabinet really, really hates Trudeau",U.S. administrations usually don't have strong opinions about Canada. Not this time.
Trudeau in Florida to meet with Donald Trump in wake of tariff threat,"Prime Minister Justin Trudeau is in Palm Beach, Fla., to meet with U.S. president-elect Donald Trump."
Amy Hamm: Trudeau condemns us to Wacko purgatory,Poilievre’s video was timed for the election Canadians want but won’t get
Former Canadian Prime Minister Justin Trudeau Mocked Relentlessly After Steamy Session With Katy Perry,The internet is taking aim at Canada's former prime minister Justin Trudeau after he was photographed with his arms wrapped around Katy Perry.
Trudeau: Evidence suggests Ukraine jet shot down by Iran,Canadian Prime Minister Justin Trudeau said evidence suggests a Ukrainian jet with 176 on board was shot down by an Iranian missile. Sixty-three of the victims ...
Justin Trudeau Lost the Plot. Now He’s Looking for a New One,What does a former prime minister do for a second act?
Justin Trudeau to step down as PM following Liberal leadership race,"Prime Minister Justin Trudeau is stepping down as Liberal leader, and is proroguing Parliament as the Liberal Party of Canada embarks on the journey to replace ..."
Terry Newman: What Justin Trudeau isn't saying,"During tariff crisis, Canadians needed more information from the prime minister"
"""Such An Insufferable Tool"": Musk Slams Trudeau Over His Jab At Trump",Elon Musk's reaction came after Justin Trudeau said Kamala Harris's loss in the US presidential election was a setback for women's progress.
"Trump Issues Christmas Message to 'Wonderful Soldiers of China,' 'Governor' Trudeau","President-elect Donald Trump issued a Christmas message to the ""wonderful soldiers of China"" who are ""illegally, operating the Panama Canal."""
Trump calls Florida meeting with Trudeau productive amid stiff tariff threat,WASHINGTON — President-elect Donald Trump called his meeting with Justin Trudeau productive and says the prime minister made a commitment to work with the Uni...
Atlantic Liberal Caucus calls for Trudeau to step down as leader,"Following an Atlantic Liberal Caucus meeting the morning of December 23, caucus chair Kody Blois wrote a letter to Trudeau calling for him to resign as party le..."
"Trudeau less likely to remain leader since Freeland quit, Gerald Butts says",Butts says Chrystia Freeland's resignation dealt Trudeau a staggering blow that loosened his already tenuous grip on the party.
Trump takes aim at Canada and Prime Minister Justin Trudeau,"President-elect Donald Trump this week once again issued several taunts directed at America's largest trading partner, Canada, and Justin Trudeau, its prime min..."
