category,attitude ,title,description
US Relations,neutral,"Justin Trudeau to shuffle his cabinet ahead of Trump presidency, election year",OTTAWA — Prime Minister Justin Trudeau will shuffle his cabinet later this morning at Rideau Hall to shore up his beleaguered government. His Liberals are ree...
US Relations,positive,Trudeau highlights Kamala Harris presidential defeat as an attack on women’s progress,"Breaking News, Sports, Manitoba, Canada"
Canadian Politics,negative,NP View: Canada's worst ever finance minister — Justin Trudeau,"It doesn't matter who the actual minister is, the prime minister controls all"
Canadian Politics,negative,Canada: Trudeau looks set to lose power after key ally vows to topple him,OTTAWA: Canadian Prime Minister Justin Trudeau on Friday looked set to lose power early next year after a key ally said he would move to bring down the minority...
US Relations,positive,Canada is fighting back against a 'dumb' trade war: PM Justin Trudeau,"He said Canada is immediately introducing 25 per cent retaliatory tariffs on $30 billion worth of American products, and will expand them to cover another $125 ..."
US Relations,neutral,Trudeau set to meet with premiers on Trump tariff threat - National,The in-person meeting in Ottawa comes less than a week before U.S. president-elect Donald Trump takes office for a second non-consecutive term on Jan. 20.
Resignation,negative,Canada's embattled PM Justin Trudeau to step down as party leader,"Justin Trudeau said TKDAY that he will resign as the leader of Canada's ruling Liberal Party, in an announcement that will set off a contest to replace him."
US Relations,neutral,Trudeau warns Vance about impact of U.S. steel and aluminum tariffs,"Prime Minister Justin Trudeau warned U.S. Vice-President J.D. Vance that punishing tariffs on Canadian steel and aluminum will hurt his home state Ohio, a senio..."
Canadian Politics,neutral,"Trudeau appoints new senators for Nova Scotia, Nunavut",Prime Minister Justin Trudeau appointed two new senators on Thursday — Allister Surette for Nova Scotia and Nancy Karetak-Lindell for Nunavut.
Resignation,negative,"‘Vast majority’ of Liberal caucus wants Trudeau to resign, MP says - National",Liberal MP Anthony Housefather says Trudeau has lost the confidence of Canadians and wants to ensure Liberals can offer a different vision in the next election.
Resignation,negative,Key ally vows to topple Canadian PM Trudeau in fresh blow to his government,"NDP leader Jagmeet Singh announces plan to introduce motion to topple Canadian government, sparking potential early election."
Personal Life,positive,Justin Trudeau can’t stop smiling during outing with Katy Perry after sparking romance rumors,Former Canadian Prime Minister Justin Trudeau was all smiles while taking a walk with Katy Perry through Mount Royal Park Monday afternoon after sparking romanc...
Personal Life,neutral,Diplo claims he dated both Katy Perry and Justin Trudeau: ‘That was a weird one’,"DJ Diplo has joked that he previously dated both singer Katy Perry and her new beau, former Canadian prime minister Justin Trudeau."
US Relations,neutral,Trudeau says Trump will pause tariffs on Canada for 30 days,Prime Minister Justin Trudeau says President Trump has agreed to pause tariffs on Canada for 30 days. NBC News White House Correspondent Yamiche Alcindor report...
US Relations,negative,Trump's tariff threat is testing both Justin Trudeau and Pierre Poilievre,"The singular nature of the U.S. president-elect is now testing both Justin Trudeau and Pierre Poilievre, who are responding in their own particular ways."
Personal Life,neutral,The Unexpected Reason Justin Trudeau and Katy Perry’s Fling Cooled Off So Fast!,For a brief moment rumors linked Justin Trudeau with Katy Perry. But sources claim there is a reason why their fling cooled off so fast.
International Politics,negative,Jordan Peterson shreds Justin Trudeau for changing tone after 'demolishing' Canada's immigration system,Dr. Jordan Peterson slammed Canadian Prime Minister Justin Trudeau for allegedly changing his tone on immigration after allegedly contributing to the issue duri...
US Relations,neutral,Trudeau says Canada must think ‘tactically and strategically' on dealing with Trump's tariff threats,"Trudeau addresses Canada's response to Trump's tariff threats, emphasizing strategic thinking and cooperation with the U.S. in 30-day extension."
US Relations,positive,Justin Trudeau Says Trump Talk Of Annexing Canada Is A Distraction Tactic,Canadian Prime Minister Justin Trudeau on Wednesday said U.S. President-elect Donald Trump's talk of possibly annexing Canada was a tactic designed to distract ...
Personal Life,positive,"Katy Perry & Justin Trudeau Had a ‘Fantastic Evening’ at Dinner Date, Says ‘Source’","Katy Perry and Justin Trudeau's recent dinner date in Montreal is making headlines, with staff gushing about their kind behavior."
Personal Life,positive,"Katy Perry Has Better Conversations With Justin Trudeau Than Orlando Bloom, Says Source","Katy Perry reportedly finds Justin Trudeau’s conversations more engaging than Orlando Bloom’s, sparking buzz over their growing connection."
Personal Life,negative,"Justin Trudeau dances at Taylor Swift concert amid destructive riot in Montreal, sparking outrage","A group of anti-NATO, pro-Palestinian demonstrators wreaked havoc on the streets of Montreal on Friday night, while Prime Minister Justin Trudeau attended a Tay..."
US Relations,neutral,"Trump Questions US-Canada Border Validity, Floats 1908 Treaty Revisions In Talks With Trudeau",
Personal Life,neutral,"Katy Perry, Justin Trudeau walk hand-in-hand in Paris amid dating rumours. Watch","Amid dating rumours, a video of singer Katy Perry and former Canadian Prime Minister Justin Trudeau waking hand-in-hand in Paris after celebrating Perry's birth..."
Canadian Politics,neutral,Carney to succeed Trudeau as Canadian PM,"Mark Carney, a former central banker and governor of both the Bank of Canada and the Bank of England, has been elected as the new leader of Canada’s Liberal P..."
Personal Life,neutral,Katy Perry and Justin Trudeau: A Timeline of Those Dating Rumors,Katy Perry and Justin Trudeau were spotted together a month after her split from Orlando Bloom. But that was just the start of the new relationship rumors.
