category,attitude,title,description
US Relations,neutral,Trudeau says Trump's Canada annexation threat 'a real thing',"Prime Minister Justin Trudeau told an economic summit Friday that President Donald Trump is serious about annexing Canada to access its natural resources, as hi..."
Personal Life,positive,Katy Perry and Justin Trudeau Pack on PDA During Yacht Outing,Katy Perry and Justin Trudeau were spotted kissing and cuddling on a yacht near Santa Barbara following her split from Orlando Bloom in June
Resignation,negative,"Canada's Justin Trudeau faces internal revolt, calls for resignation grow",Rest of World News: Canadian Prime Minister Justin Trudeau faces mounting pressure to resign amid dwindling support within the Liberal Party. Following Deputy P...
US Relations,positive,Biden says 'the world is better off' because of Trudeau,"U.S. President Joe Biden has issued a glowing review of Prime Minister Justin Trudeau's time in office, describing him as a man who left the world, the continen..."
Personal Life,negative,Katy Perry & Justin Trudeau Don’t Share the Same Feelings — Source,Katy Perry is reportedly far more invested in her rumored romance with Justin Trudeau than the ex-Canadian prime minister is.
US Relations,neutral,"How does Canada define itself? 'We're not Americans,' Trudeau tells CNN",Prime Minister Justin Trudeau said Donald Trump's repeated digs about Canada becoming the 51st state are a distraction.
US Relations,negative,Will Justin Trudeau become first victim of Trump's tariff war?,US News: Canadian Deputy PM Chrystia Freeland's shocking resignation throws Prime Minister Justin Trudeau's government into turmoil amidst economic woes and US
US Relations,neutral,"Canada's Justin Trudeau responds to Donald Trump's '51st state' jibe, calls him...",Trudeau called the comments a “distraction tactic” and emphasised Canadians' pride in their national identity
US Relations,positive,Washington views Canada’s PM Trudeau as ‘stalwart friend’ of US — official,"White House Press Secretary Karine Jean-Pierre added that the US would ""stand with"" all people of Canada as they elected a new leader"
Canadian Politics,negative,Race begins to replace Canadian PM Trudeau,"The race to be Canadian Prime Minister Justin Trudeau's successor kicked off on Tuesday, a day after he resigned amid a looming trade war with the United States..."
US Relations,neutral,Trudeau expected to outline Canada’s response to Trump’s tariffs,Prime Minister Justin Trudeau is expected to take questions later this morning about how Canada will respond in the face of sweeping tariffs imposed by U.S. Pre...
Resignation,negative,Canada's Justin Trudeau Breaks Down On Camera During Farewell Speech,The glimpses of a teared-up Justin Trudeau marks one of his final moments as the Prime Minister of Canada before his Liberal Party chooses a new successor to ri...
Resignation,negative,Canada’s Trudeau Announces Intention to Resign as Prime Minister,"If elections were held today, the opposition Conservative Party would almost certainly take office."
US Relations,neutral,Trudeau announces tariff deal with Trump,Canadian Prime Minister Justin Trudeau has confirmed duties suspension for at least 30 days
Personal Life,positive,Katy Perry & Justin Trudeau Take Next Big Step in Relationship — Source,Katy Perry and Justin Trudeau are reportedly planning to spend a romantic time together during the Christmas holiday.
Resignation,neutral,Canada PM Justin Trudeau could resign today…,The sheen has rubbed off the Prince Charming of international politics with predictions that he will resign today. From the Guardian: The Globe and Mail newspap...
International Politics,neutral,"Trudeau, Biden discuss rule of law at Brazil G20 summit","Prime Minister Justin Trudeau spent his first day at the G20 leaders' summit Monday speaking in closed-door meetings about issues like continental trade, fighti..."
US Relations,neutral,Trudeau inviting premiers to Ottawa as Trump inauguration looms,Prime Minister Justin Trudeau is inviting provincial and territorial premiers to Ottawa next Wednesday to discuss Canada-U.S. relations.
Canadian Politics,neutral,Trudeau has prorogued Parliament. Here’s what that means - National,Prime Minister Justin Trudeau said Gov. Gen. Mary Simon has agreed with his request to prorogue Parliament until March 24 as the Liberals hold a contest to repl...
US Relations,positive,Trudeau trolls Trump after Canada bests USA at hockey,Canadian Prime Minister Justin Trudeau took a jab at President Trump after Canada's victory over the United States in an international hockey tournament.
Resignation,positive,Trudeau Quits: Canada faces political uncertainty and leadership change,Forty-three-year-old Trudeau’s positive political message and energetic personality had helped the Liberals win a historic majority in Parliament in 2015.
Canadian Politics,neutral,Trudeau tells Canadians to ‘put our politics aside’ in Christmas message - National,Prime Minister Justin Trudeau struck a conciliatory and hopeful tone in his annual Christmas message as he faces growing calls to resign and questions about his...
US Relations,neutral,Trump wants Canada's economy to 'collapse' to make annexation 'easier': Justin Trudeau,US News: Canadian Prime Minister Justin Trudeau accuses US President Donald Trump of imposing tariffs to weaken Canada's economy and facilitate annexation. Thi
US Relations,neutral,Trudeau calls idea of banning Trump from Canada ‘irresponsible’,"Trudeau said he sees the idea of banning Trump as an ""irresponsible"" approach to governance and dialogue with other nations."
Canadian Politics,negative,Trudeau Dancing as Antisemites Burn Down Montreal,"Demonstrators set vehicles on fire, vandalized property, and burned an effigy of Prime Minister Benjamin Netanyahu."
Resignation,negative,"Over in Canada, PM Trudeau bites the dust","Donald Trump excels in every field, including surrealism. Leonard Cohen sang ""First we take Manhattan, then we take Berlin!"", but it"
Resignation,negative,Trudeau resigns after nearly a decade of environmental impact,"Canadian Prime Minister Justin Trudeau has overseen major advances in environmental law, as well as buying a pipeline"
Resignation,neutral,Trudeau announces he will resign as Canada's prime minister,"Justin Trudeau, Canada's longtime prime minister, announced he intends to resign as prime minister and head of his party. Trudeau faced growing opposition in Ca..."
Resignation,neutral,"Trudeau set to step down as leader, Globe reports","Breaking News, Sports, Manitoba, Canada"
Personal Life,positive,Katy Perry Subtly Debuts Justin Trudeau on Her Instagram,Katy Perry shared a clip celebrating her birthday on Instagram that features former Canadian Prime Minister Justin Trudeau.
US Relations,positive,Trudeau calls tariffs dumb; says Trump wants to ruin Canadian economy,Canadian Prime Minister Justin Trudeau told U.S. President Donald Trump on Tuesday that his tariffs on Canadian imports were
Canadian Politics,negative,"Justin Trudeau Says 'Made Mistakes' On Immigration, Plans Big Change","In a recent video message, Trudeau stated that Canada's population has grown rapidly over the past two years, but this growth has also been accompanied by explo..."
Personal Life,positive,Justin Trudeau Is ‘Much Happier Now’ With Katy Perry — Source,Sources reportedly revealed that former Canadian Prime Minister Justin Trudeau's life has
Resignation,negative,Canada PM Trudeau bows out with resignation announcement amid plunging popularity,Says parliament will be suspended until March.
Canadian Politics,neutral,Potential scenarios for Prime Minister Justin Trudeau and the Liberals,"The Liberal government was thrown into disarray this week when Chrystia Freeland stepped down from cabinet as finance minister, reviving calls for Prime Ministe..."
Personal Life,neutral,"Katy Perry, Justin Trudeau Still Privately Seeing Each Other (Excl)","Katy Perry and former Canadian Prime Minister Justin Trudeau are still dating, multiple sources exclusively tell Us Weekly"
Resignation,neutral,Justin Trudeau to resign as Canada's prime minister - what happens now?,The Canadian prime minister is stepping down after nine years at the helm. What happens now - and what led to his departure?
US Relations,negative,"Trump trolls Justin Trudeau as ""governor"" of the ""great state"" of Canada",President-elect Donald Trump and Canadian Prime Minister Justin Trudeau recently had dinner at Mar-a-Lago.
US Relations,neutral,Canada's Trudeau announces tariffs on US in retaliation for Trump's tariffs,"Canada will retaliate against President Donald Trump's new tariffs by imposing 25 percent tariffs U.S. goods from drinks to appliances, Prime Minister Justin Tr..."
Resignation,neutral,Justin Trudeau is resigning. Here’s what comes next.,A cost-of-living crisis and conflict in the Liberal Party mean the resignation’s not a surprise.
International Politics,neutral,Trudeau says G20 leaders' statement on Ukraine is not strong enough,Prime Minister Justin Trudeau said Tuesday the final leaders' statement from the G20 summit in Brazil is not strong enough on the war in Ukraine.
Canadian Politics,negative,Canada’s Trudeau faces increasing pressure from his own MPs to quit,"“There is no alternative but to have the leadership change now,” says Liberal party legislator Chandra Arya."
Resignation,negative,Montreal Liberal MP Anthony Housefather says Trudeau should resign,"Montreal MP Anthony Housefather has joined the number of Liberals who are calling on Prime Minister Justin Trudeau to step aside, saying Monday that he believes..."
Resignation,negative,Jamie Sarkonak: Justin Trudeau resigns a failure,"Many Canadians wanted his soft-on-crime promises, multicultural utopianism and energy stagnation. They just didn't like getting it"
US Relations,neutral,Trump calls Florida meeting with Trudeau productive amid stiff tariff threat,"Trump says he and Trudeau discussed the drug crisis, particularly fentanyl, illegal immigration, as well as trade, energy and the Arctic"
Personal Life,positive,Katy Perry and Justin Trudeau Have Dinner Date in Montreal,Katy Perry and former Canadian Prime Minister Justin Trudeau are both newly single and were spotted dining together at a posh Montreal restaurant.
Personal Life,positive,Watch Justin Trudeau Support Katy Perry at Her Concert After Their Date,Former Canadian Prime Minister Justin Trudeau was seen dancing at Katy Perry's concert after the two went on an intimate dinner date.
Canadian Politics,negative,"Go woke, go broke: How Justin Trudeau lost his mojo","Rest of World News: Explore the rise and fall of Justin Trudeau, examining his early success, missteps, and the impact of economic challenges on his political l..."
Resignation,negative,Kelly McParland: Trudeau hands over a disgruntled country,"He leaves in his wake a nation divided, unsettled, abnormally pessimistic and uncertain of its place in the world"
Canadian Politics,negative,Ontario Liberal MPs want Justin Trudeau to step down: sources,"At a virtual meeting of the Ontario Liberal caucus on Saturday morning, more than 50 Liberal MPs came to a consensus that Prime Minister Justin Trudeau needs to..."
Personal Life,positive,Katy Perry and Justin Trudeau PDA session confirms romance rumors,Katy Perry and Justin Trudeau display romance with PDA aboard the singer's yacht Caravelle off the Santa Barbara coast in newly obtained photos.
Canadian Politics,neutral,Trudeau noncommittal on expanding rebate beyond 'working Canadians',"Prime Minister Justin Trudeau does not appear willing to budge on his plan to send a $250 rebate to 'hardworking Canadians,' despite pressure from the oppositio..."
Canadian Politics,negative,Poilievre says RCMP covered up Trudeau-era scandals,"Breaking News, Sports, Manitoba, Canada"
Personal Life,positive,Katy Perry’s Cheeky Comment Suggests She May Be Engaged To Justin Trudeau,Katy Perry made an interesting comment to a fan suggesting she's in a romantic relationship with former Canadian prime minister Justin Trudeau.
US Relations,neutral,Trudeau rushes over to London to discuss Trump with King Charles III,Canadian Prime Minister Justin Trudeau traveled to Britain to discuss with King Charles III at Sandringham Estate the ongoing crisis with US President Donald Tr...
Personal Life,negative,"Katy Perry Was ‘Scared’ to Date Justin Trudeau, Says Source","Justin Trudeau and Katy Perry are reportedly dating, and apparently, the singer was scared to date the politician, says a source."
Personal Life,positive,Katy Perry and Justin Trudeau Take Their Relationship Public,"After months of speculation, Katy Perry and Justin Trudeau make their relationship official with their first public outing as a couple."
Personal Life,neutral,Justin Trudeau attends Taylor Swift show in Toronto with family members,Prime Minister Justin Trudeau was among the fans checking out Taylor Swift's second-last Toronto show on Friday evening.
Personal Life,positive,Justin Trudeau 'Much Happier' In New Relationship With Katy Perry: Report,Recent reports indicate that former Canadian Prime Minister Justin Trudeau is in a new relationship with singer Katy Perry and is much happier as a result.
US Relations,neutral,"Did Trudeau Really Make A Counter-Offer For ""Parts"" Of Canada With Trump?",Canadian Prime Minister Justin Trudeau revealed that he jokingly suggested trading Vermont or California to President-elect Donald Trump in response to Trump's ...
Canadian Politics,negative,"Internal battles, public anger and party conflict: The downfall of Justin Trudeau","When Canadian Prime Minister Justin Trudeau was catapulted to power in 2015, he was regarded as a fresh face who could bring positive change. Now, his approval ..."
US Relations,neutral,Trudeau says Kamala Harris's election loss was a setback for women's progress,Prime Minister Justin Trudeau said Tuesday that Kamala Harris's loss in the U.S. presidential election was a setback for women's progress — and cited several ...
US Relations,neutral,Trudeau says Canada will push back on U.S. tariffs with Trump administration,"Trump signed an executive order Monday to implement 25 per cent tariffs on all steel and aluminum imports into the U.S., beginning March 12."
Resignation,neutral,WATCH: Trudeau Resigns as Prime Minister of Canada,"After he was rocked by high-profile resignations and internal warfare Trudeau says: ""I intend to resign as party leader as PM after the party selects its"
US Relations,neutral,Trudeau promises border helicopters at ‘very productive’ Trump meeting: source - National,"On Friday evening, Trudeau landed in Florida and travelled to Trump's Mar-a-Lago club for a hastily arranged dinner and discussion with president-elect."
Canadian Politics,neutral,Former Trudeau ally Freeland enters race to be Canada PM,"Canada's former deputy prime minister Chrystia Freeland launched her campaign Sunday to replace Justin Trudeau as Liberal Party leader and prime minister, pitch..."
Canadian Politics,negative,‘Proud Feminist’ Trudeau Accused of Sexism in Rift with Ex-Trade Minister,Canadian Prime Minister Justin Trudeau is accused of sexism after scapegoating trade minister Chrystia Freeland and forcing her to resign.
Resignation,neutral,Trudeau to announce he's stepping down as Liberal leader: sources,Prime Minister Justin Trudeau is holding a news conference on Monday as questions swirl about his political future.
Personal Life,positive,Katy Perry and Justin Trudeau spark romance rumours,Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau have reportedly developed an “instant connection”.
Canadian Politics,negative,Justin Trudeau faces leadership test as deputy PM Chrystia Freeland resigns,"Chrystia Freeland, who is also finance minister, left cabinet on Monday after clashing with Mr Trudeau on issues including how to handle possible Trump tariffs."
International Politics,neutral,"CP NewsAlert: Trudeau pledges light armoured vehicles, seized assets at Kyiv summit",KYIV — Prime Minister Justin Trudeau has pledged 25 light armoured vehicles to Ukraine and to provide the country with $5 billion in seized Russian assets. Tr...
International Politics,neutral,Canada could send troops to Ukraine – Trudeau,Canadian PM Justin Trudeau has claimed that Ottawa is considering all possible options to secure and bolster Kiev’s positions against Moscow
Canadian Politics,neutral,Trudeau shuffling fresh faces into cabinet today to fill vacancies,Prime Minister Justin Trudeau is shuffling his cabinet this morning. He is expected to make several changes to his ministerial roster in a bid to inject some st...
US Relations,neutral,"Trump’s trade war will last for ‘foreseeable future,’ Trudeau says - National",Prime Minister Justin Trudeau added that U.S. President Donald Trump's trade war will continue for the 'foreseeable future' but Canada will 'not back down.'
Personal Life,positive,Trudeau attends Taylor Swift concert in Toronto with family,"Prime Minister Justin Trudeau was spotted in the crowd at the Taylor Swift concert Friday in Toronto with his family, his office confirmed."
Canadian Politics,neutral,Trudeau to make first public remark following Freeland's resignation,"Chrystia Freeland, Canada's finance minister, said in an explosive letter published Monday morning that she will quit cabinet. Follow along for live updates."
US Relations,neutral,Trudeau vows to fight Trump’s tariffs,The Canadian prime minister has promised to retaliate against US duties on steel and aluminum
Resignation,negative,Is Justin Trudeau Ready to Take a Walk in the Snow?,Canada’s prime minister is under pressure from all directions to quit.
International Politics,neutral,Trudeau stands by Zelenskyy as London summit on European security ends,"Prime Minister Justin Trudeau says Moscow can't be trusted in any agreement to end its invasion of Ukraine, as European leaders craft plans to rely less on Wash..."
Resignation,neutral,Report: Justin Trudeau to Step Down as Party Leader this Week,Justin Trudeau will reportedly resign from his position as party leader this week amid conservative opposition and dismal approval ratings.
Resignation,negative,"Justin Trudeau, Facing Dissent Within His Party, Announces Resignation As PM",Justin Trudeau resigned today as the leader of his Liberal Party of Canada effectively ending his nine-year tenure as Canada's Prime Minister too. The move come...
International Politics,neutral,"Yoon, Canada's Trudeau hold summit on sidelines of APEC","By Kim Eun-jung LIMA, Nov. 15 (Yonhap) -- President Yoon Suk Yeol and Canadian Prime Min..."
Personal Life,positive,Katy Perry & Justin Trudeau: Dinner date sparks romance speculation,"Justin Trudeau and Katy Perry were seen dining together at Montreal’s upscale Le Violon on July 28, 2025—sharing lobster, cocktails, and animated conversati..."
US Relations,neutral,Trudeau to brief opposition leaders on Trump meeting,Prime Minister Justin Trudeau will meet with all opposition leaders today before question period to brief them about his meeting with U.S. president-elect Donal...
Personal Life,positive,Katy Perry's Dinner With Justin Trudeau Turns Heads,It would be one of the more unusual romantic pairings in a while.  TMZ  spotted Katy Perry having dinner with former Canadian Prime Minister Justin Trudeau at a...
Personal Life,positive,"Katy Perry, Justin Trudeau make 1st public appearance as a couple - National",The pop superstar and the former Canadian prime minister took their romance public as they left a Paris restaurant hand in hand while paparazzi waited for them ...
Resignation,neutral,"Trudeau expected to step down this week, Globe and Mail reports",OTTAWA — The Globe and Mail is reporting that Prime Minister Justin Trudeau is expected to announce he is stepping down as Liberal party leader as early as Mo...
Resignation,positive,"N.S. Liberals commend Trudeau for announcing departure, say PM made 'right decision'","Nova Scotia Liberals praised Prime Minister Justin Trudeau on Monday for announcing his intention to step down as Liberal leader and prime minister, calling it ..."
Personal Life,positive,Katy Perry Is 'Very Happy' Amid 'Low-Key' Romance With Justin Trudeau,Katy Perry and Justin Trudeau's romance heats up as sources say Perry is very happy and keeping the relationship low-key while on tour
Resignation,positive,"It was the right decision': Quebec politicians, residents react to Trudeau resignation",Elected officials in Quebec were quick to react to the major announcement in Ottawa Monday about Prime Minister Justin Trudeau and the path forward for the fede...
US Relations,neutral,Trudeau meets Trump in Florida as tariff threats loom,"Canadian Prime Minister Justin Trudeau traveled to Florida on Friday for a dinner with Donald Trump at the president-elect's Mar-a-Lago estate, as the incomin..."
Resignation,neutral,Justin Trudeau quits: How his focus on social policy will be his legacy,Toronto: Justin Trudeau has resigned after more than nine years as Canada's 23rd prime minister.Parliament will be prorogued and will resume sitting on March 24...
US Relations,neutral,Canada to retaliate to US duties — Trudeau,Prime minister said that Canada will be responding to the US trade action with 25% tariffs against Canadian $155 billion worth of American goods
Canadian Politics,negative,Trudeau tried to exorcise family ghosts out west. His own spectre may linger,"Early on, the Liberal leader made a surprising breakthrough in the heart of conservative oil country. But he also triggered fresh bitterness with his climate po..."
US Relations,neutral,Trudeau says Canada intends to push back on U.S. steel and aluminum tariffs,Prime Minister Justin Trudeau says Ottawa will work to convince U.S. President Donald Trump that his steel and aluminum tariffs will hurt both countries.
Canadian Politics,neutral,Trudeau makes his case to Canadians in year-end interview with comedian Mark Critch,"Through laughs and jokes, Prime Minister Justin Trudeau attempted to make his case to take the Liberals into the next election."
Personal Life,positive,Katy Perry & Justin Trudeau Spending Time With Her Daughter — Source,"Katy Perry reportedly introduced Justin Trudeau to her daughter, Daisy Dove, after their romantic yacht getaway photos became viral."
