attitude,title,description
negative,Trudeau finished,"Canadian PM Justin Trudeau is finished - either this week, or at the election. Any tiny chance of victory has disappeared with the dramatic resignation of not j…"
negative,Justin Trudeau Might Be the Only One Who Still Believes in Justin Trudeau,When stubbornness becomes a political strategy
neutral,Canadian Prime Minister Justin Trudeau wins second term,Canadian Prime Minister Justin Trudeau won a second term Monday. Trudeau faced a close race against conservative Andrew Scheer following a series of scandals la...
negative,"Assessing the Trudeau record, real and imagined",Declining support for the Liberal Party should not be confused with declining support for progressive policies that create communities where all can thrive.
negative,Trudeau faces political crisis as Chrystia Freeland resigns,"In a letter to Trudeau, Chrystia Freeland said, ?For the last number of weeks, you and I have found ourselves at odds over the best path forward for Canada.?..."
negative,Trudeau faces frustrated MPs after Chrystia Freeland's shock resignation,Prime Minister Justin Trudeau faced frustrated MPs at a hastilyÿarranged caucus meeting late Monday following Chrystia Freeland's shocking decision to resign f...
negative,Why's Trudeau Sticking Out His Tongue?,Canada's outgoing Prime Minister Justin Trudeau carries his chair from the House of Commons on Parliament Hill in Ottawa.
negative,When will Canada hear from Justin Trudeau?,Trudeau leaves Canada in suspense as anxious Liberals urge him to go.
positive,"Maybe Canadians were the problem, not Trudeau",Canada has struggled to address key challenges for nearly a generation. This failure was bipartisan and it stems from stems from Canadians simply not wanting to...
negative,Trudeau on the brink after chaotic day in Ottawa,Canada's politics were thrown into chaos after the sudden exit of the country's finance minister.
negative,Treasury Secretary Scott Bessent: Justin Trudeau Is a ?Numbskull?,"Secretary of the Treasury Scott Bessent called Canadian Prime Minister Justin Trudeau a ""numbskull"" on Thursday, in response toÿTrudeau declaring Canada will c..."
negative,Quebec Liberal caucus wants Trudeau to resign: sources,"Quebec MPs are adding to the pressure on Prime Minister Justin Trudeau to step aside as leader. The province's caucus chair, St‚phane Lauzon, consulted with MP..."
negative,Where does Justin Trudeau go without Chrystia Freeland?,"No minister is ever truly irreplaceable. But aside from Trudeau himself, no minister has been more central to this Liberal government than Freeland.ÿHer explos..."
negative,Why Canada Fell Out of Love with Justin Trudeau,He promised sunny ways but left behind a divided country
neutral,What will Canada's second Trudeau era leave behind?,It is impossible in the present to know what history will remember. But Justin Trudeau?s time as a maker of history is now within sight. It is not too early t...
positive,"Trudeau delivers Christmas message, thanks essential workers","Prime Minister Justin Trudeau, in a pre-recorded message, offered Christmas wishes and thanked all essential workers who were on the job so others could celebra..."
positive,How Justin Trudeau won and lost the public's adoration,"In his early days as prime minister, Justin Trudeau was ""cool."" In the year that followed his majority sweep into power, he appeared in the pages of Vogue, on t..."
negative,Trudeau to appear at Liberal fundraiser tonight,"Chrystia Freeland, Canada's finance minister, said in an explosive letter published Monday morning that she will quit cabinet. Follow along for live updates."
negative,Matthew Lau: Canada's Trudeau-induced economic coma,"No matter what metric you look at ? GDP, business investment, jobs, taxes, crime or identity politics ? the figures are grim"
