attitude,title,description
neutral,"Trudeau, Biden discuss rule of law at Brazil G20 summit","Prime Minister Justin Trudeau spent his first day at the G20 leaders' summit Monday speaking in closed-door meetings about issues like continental trade, fighti..."
neutral,Trudeau says G20 leaders' statement on Ukraine is not strong enough,Prime Minister Justin Trudeau said Tuesday the final leaders' statement from the G20 summit in Brazil is not strong enough on the war in Ukraine.
neutral,"CP NewsAlert: Trudeau pledges light armoured vehicles, seized assets at Kyiv summit",KYIV — Prime Minister Justin Trudeau has pledged 25 light armoured vehicles to Ukraine and to provide the country with $5 billion in seized Russian assets. Tr...
neutral,Canada could send troops to Ukraine – Trudeau,Canadian PM Justin Trudeau has claimed that Ottawa is considering all possible options to secure and bolster Kiev’s positions against Moscow
neutral,Trudeau stands by Zelenskyy as London summit on European security ends,"Prime Minister Justin Trudeau says Moscow can't be trusted in any agreement to end its invasion of Ukraine, as European leaders craft plans to rely less on Wash..."
neutral,"Yoon, Canada's Trudeau hold summit on sidelines of APEC","By Kim Eun-jung LIMA, Nov. 15 (Yonhap) -- President Yoon Suk Yeol and Canadian Prime Min..."
neutral,Trudeau: Evidence suggests Ukraine jet shot down by Iran,Canadian Prime Minister Justin Trudeau said evidence suggests a Ukrainian jet with 176 on board was shot down by an Iranian missile. Sixty-three of the victims ...
negative,"""Our Hope Is..."": After Trudeau Exit, India Recalls ""Licence To Extremists""","Days after Mark Carney replaced Justin Trudeau as Prime Minister of Canada, India, on Friday, recalled ""the downturn in India-Canada relations""."
neutral,Trudeau to meet Polish PM and sign nuclear energy cooperation agreement,KRAKOW — Prime Minister Justin Trudeau is travelling to Warsaw today to meet with his Polish counterpart Donald Tusk. The two leaders are set to sign the Cana...
neutral,Trudeau says democracy at stake as Ukraine kept away from peace talks,"Prime Minister Justin Trudeau says Ukraine must have a seat at the table in any peace talks, as Washington and Moscow discuss ways to end the war. Trudeau says ..."
neutral,"Trudeau, Trump discuss Ukraine and shared border","On February 1, Trump signed an executive order to impose tariffs on goods from Canada, China and Mexico"
neutral,Trudeau sets meetings with U.S. and Mexico at G20 summit,"Trudeau will have a series of key meetings on the sidelines of the G20 summit in Rio de Janeiro on Monday, including a talk with Joe Biden."
neutral,Trudeau backs Scholz’s call to Putin over Ukraine,Justin Trudeau has expressed support for Olaf Scholz’s phone call with Vladimir Putin regarding the Ukraine conflict
neutral,"Trudeau to attend second day of G20 summit, return to Ottawa",OTTAWA — Prime Minister Justin Trudeau is attending the final day of the G20 summit in Brazil. He is set to go to a working session on sustainable development...
neutral,Ukrainian president says Trudeau is expected to visit Ukraine on Monday,The Prime Minister’s Office says Justin Trudeau spoke with U.S. President Donald Trump on Saturday about the war in Ukraine and Canada’s efforts to combat f...
negative,"Opinion | For An India-Canada Reset, Trudeau Really Had To Go",Trudeau's departure was needed for an India-Canada reset as the strategic partnership that was put in place in 2015 now lies in shambles.
neutral,"G20 summit: Trudeau set to meet Biden, other world leaders in Rio - National",The meeting will take place a day after The Associated Press reported that Biden has authorized Ukraine to use U.S.-supplied long-range missiles to strike deepe...
neutral,Trudeau sign nuclear energy cooperation agreement with Poland,Prime Minister Justin Trudeau is travelling to Warsaw today to meet with his Polish counterpart Donald Tusk.
neutral,Trudeau to meet Polish PM and sign nuclear energy cooperation agreement,"Breaking News, Sports, Manitoba, Canada"
positive,President Sheinbaum: Prime Minister Trudeau supports keeping USMCA intact,President Sheinbaum said Wednesday that Justin Trudeau assured her at the G20 summit that he doesn't agree with calls to end the USMCA.
positive,Trudeau staunchly defends Zelenskyy as London summit on European security wraps up,Prime Minister Justin Trudeau clearly signalled his view today that Russian President Vladimir Putin cannot be trusted to keep his word on any agreement to end ...
negative,DC Edit | Trudeau quits under a cloud; but crisis with India not over,"Justin Trudeau faces political downfall as economic woes, immigration backlash, and India tensions erode his support"
negative,Jordan Peterson shreds Justin Trudeau for changing tone after 'demolishing' Canada's immigration system,Dr. Jordan Peterson slammed Canadian Prime Minister Justin Trudeau for allegedly changing his tone on immigration after allegedly contributing to the issue duri...
negative,"Modi’s G7 diplomacy lauded by US expert, Trudeau rebuked over Khalistan support","Michael Rubin hails PM Modi’s G7 summit attendance as a diplomatic win, slams Trudeau for emboldening Khalistanis and urges Canada to crack down on extremism."
neutral,Trudeau set to visit King Charles before flying home to Ottawa after security summit,LONDON — Prime Minister Justin Trudeau planned to meet with King Charles today before leaving London for Ottawa. Trudeau was in London for a weekend security ...
neutral,Trudeau set to meet with King Charles before returning to Ottawa after security summit,"Trudeau said he would raise matters with the King that are most important to Canadians, adding that Canada's sovereignty and independence seem to be atop the pu..."
