attitude,title,description
negative,Trump calls Trudeau ?a loser?,The US president has claimed that ?loser? Justin Trudeau has done a bad job governing Canada
neutral,Trudeau Trump Meeting: Old video of Trudeau mocking Trump viral as Canada PM dines with President-elect,US News: A 2019 video of Justin Trudeau mocking Donald Trump has gone viral as the Canadian PM flew to Florida to meet President-elect Trump following Trump's
positive,Trudeau blasts Trump?s ?dumb? tariffs,Canadian Prime Minister Justin Trudeau has condemned US President Donald Trump for imposing tariffs on Canadian imports
positive,Trudeau Trump Meeting: Trump says meeting with Trudeau was very productive: 'I made it very clear that...',US News: Donald Trump described his meeting with Justin Trudeau as very productive while Trudeau said he had an excellent conversation with Trump. Trudeau flew
negative,Trump takes jab at 'governor' Trudeau,The president-elect referred to the 'great state' of Canada in a social media post.
negative,Trump Trolls Justin Trudeau After Canadian Finance Minister Resigns,President-elect Donald Trump trolled Canadian Prime Minister Justin Trudeau after Finance Minister Chrystia Freeland resigned.
positive,Trudeau reports ?excellent conversation? with Trump,Canadian Prime Minister Justin Trudeau says he has had an ?excellent conversation? with Donald Trump at his Mar-a-Lago club following the US president-elect...
positive,Trudeau gets smiles with stern speech to President 'Donald',"Prime Minister Justin Trudeau struck an informal tone on Tuesday, addressing the U.S. president several times as just ?Donald? in a speech that was broadcas..."
negative,Trump Trudeau Dinner: Did Trump make Trudeau spend the night at a hotel? Here's the truth behind viral X post,US News: An X post that claimed that Donald Trump did not ask Justin Trudeau to stay at Mar-a-Lago at night after their dinner went viral with social media use
neutral,Canada will never join US ? Trudeau,US President Donald Trump has repeatedly suggested incorporating Canada as the 51st state
positive,Trudeau slams Trump's tariffs as stocks plunge,Canadian Prime Minister Justin Trudeau is calling out President Trump's tariffs levied. This comes as the stock markets show signs of panic among investors over...
positive,Trudeau: Canada ?will respond? if Trump imposes tariffs,"Canadian Prime Minister Justin Trudeau has warned of retaliatory measures if US President-elect Donald Trump imposes new tariffs, citing the success o"
positive,"U.S.-Canada alliance stronger because of Trudeau, Biden says - National","The outgoing U.S. president listed a range of issues that he and Trudeau worked on together, 'from the COVID-19ÿpandemic, to climate change, toÿthe scourge of..."
positive,Trudeau slams Trump?s ?dumb? tariffs as economic war on Canada,"Trudeau blasts Trump?s tariffs as an attack on Canada?s economy, warning of severe consequences for both nations."
positive,Trudeau announces Canada-U.S. Economic Summit for Friday,"With the threat of punishing tariffs on pause but still hovering over the Canadian economy, Prime Minister Justin Trudeau announced the government will host a C..."
positive,Trudeau calls for calm in face of Trump's tariff threat,"Canadians need to remain calm in the face of U.S. president-elect Donald Trump?s threat to impose 25 per cent tariffs on all imports from Canada, Prime Minist..."
positive,Tariffs on Canada also postponed after Trump-Trudeau talks,"After agreeing with Mexico's Claudia Sheinbaum on a one-month pause for the imposition of 25% tariffs, US President Donald Trump reached an understanding Monday..."
neutral,Why Donald Trump has a rocky relationship with Justin Trudeau?,"The relationship remains strained, with significant economic stakes for Canada. If tensions escalate further, the impact on Canada?s economy could be serious"
negative,"Major reshuffle as Trudeau faces party pressure, Trump taunts","Canadian Prime Minister Justin Trudeau on Friday shook up his cabinet, changing one-third of his team as political turmoil threatens his leadership and tensions..."
neutral,Trudeau says Trump's Canada annexation threat 'a real thing',"Prime Minister Justin Trudeau told an economic summit Friday that President Donald Trump is serious about annexing Canada to access its natural resources, as hi..."
positive,Biden says 'the world is better off' because of Trudeau,"U.S. President Joe Biden has issued a glowing review of Prime Minister Justin Trudeau's time in office, describing him as a man who left the world, the continen..."
neutral,"How does Canada define itself? 'We're not Americans,' Trudeau tells CNN",Prime Minister Justin Trudeau said Donald Trump's repeated digs about Canada becoming the 51st state are a distraction.
negative,Will Justin Trudeau become first victim of Trump's tariff war?,US News: Canadian Deputy PM Chrystia Freeland's shocking resignation throws Prime Minister Justin Trudeau's government into turmoil amidst economic woes and US
neutral,"Canada's Justin Trudeau responds to Donald Trump's '51st state' jibe, calls him...",Trudeau called the comments a “distraction tactic” and emphasised Canadians' pride in their national identity
positive,Washington views Canada’s PM Trudeau as ‘stalwart friend’ of US — official,"White House Press Secretary Karine Jean-Pierre added that the US would ""stand with"" all people of Canada as they elected a new leader"
neutral,Trudeau expected to outline Canada’s response to Trump’s tariffs,Prime Minister Justin Trudeau is expected to take questions later this morning about how Canada will respond in the face of sweeping tariffs imposed by U.S. Pre...
neutral,Trudeau announces tariff deal with Trump,Canadian Prime Minister Justin Trudeau has confirmed duties suspension for at least 30 days
neutral,Trudeau inviting premiers to Ottawa as Trump inauguration looms,Prime Minister Justin Trudeau is inviting provincial and territorial premiers to Ottawa next Wednesday to discuss Canada-U.S. relations.
positive,Trudeau trolls Trump after Canada bests USA at hockey,Canadian Prime Minister Justin Trudeau took a jab at President Trump after Canada's victory over the United States in an international hockey tournament.
neutral,Trump wants Canada's economy to 'collapse' to make annexation 'easier': Justin Trudeau,US News: Canadian Prime Minister Justin Trudeau accuses US President Donald Trump of imposing tariffs to weaken Canada's economy and facilitate annexation. Thi
neutral,Trudeau calls idea of banning Trump from Canada ‘irresponsible’,"Trudeau said he sees the idea of banning Trump as an ""irresponsible"" approach to governance and dialogue with other nations."
positive,Trudeau calls tariffs dumb; says Trump wants to ruin Canadian economy,Canadian Prime Minister Justin Trudeau told U.S. President Donald Trump on Tuesday that his tariffs on Canadian imports were
negative,"Trump trolls Justin Trudeau as ""governor"" of the ""great state"" of Canada",President-elect Donald Trump and Canadian Prime Minister Justin Trudeau recently had dinner at Mar-a-Lago.
neutral,Canada's Trudeau announces tariffs on US in retaliation for Trump's tariffs,"Canada will retaliate against President Donald Trump's new tariffs by imposing 25 percent tariffs U.S. goods from drinks to appliances, Prime Minister Justin Tr..."
neutral,Trump calls Florida meeting with Trudeau productive amid stiff tariff threat,"Trump says he and Trudeau discussed the drug crisis, particularly fentanyl, illegal immigration, as well as trade, energy and the Arctic"
neutral,Trudeau rushes over to London to discuss Trump with King Charles III,Canadian Prime Minister Justin Trudeau traveled to Britain to discuss with King Charles III at Sandringham Estate the ongoing crisis with US President Donald Tr...
neutral,"Did Trudeau Really Make A Counter-Offer For ""Parts"" Of Canada With Trump?",Canadian Prime Minister Justin Trudeau revealed that he jokingly suggested trading Vermont or California to President-elect Donald Trump in response to Trump's ...
neutral,Trudeau says Kamala Harris's election loss was a setback for women's progress,Prime Minister Justin Trudeau said Tuesday that Kamala Harris's loss in the U.S. presidential election was a setback for women's progress — and cited several ...
neutral,Trudeau says Canada will push back on U.S. tariffs with Trump administration,"Trump signed an executive order Monday to implement 25 per cent tariffs on all steel and aluminum imports into the U.S., beginning March 12."
neutral,Trudeau promises border helicopters at ‘very productive’ Trump meeting: source - National,"On Friday evening, Trudeau landed in Florida and travelled to Trump's Mar-a-Lago club for a hastily arranged dinner and discussion with president-elect."
neutral,"Trump’s trade war will last for ‘foreseeable future,’ Trudeau says - National",Prime Minister Justin Trudeau added that U.S. President Donald Trump's trade war will continue for the 'foreseeable future' but Canada will 'not back down.'
neutral,Trudeau vows to fight Trump’s tariffs,The Canadian prime minister has promised to retaliate against US duties on steel and aluminum
neutral,Trudeau to brief opposition leaders on Trump meeting,Prime Minister Justin Trudeau will meet with all opposition leaders today before question period to brief them about his meeting with U.S. president-elect Donal...
neutral,Trudeau meets Trump in Florida as tariff threats loom,"Canadian Prime Minister Justin Trudeau traveled to Florida on Friday for a dinner with Donald Trump at the president-elect's Mar-a-Lago estate, as the incomin..."
neutral,Canada to retaliate to US duties — Trudeau,Prime minister said that Canada will be responding to the US trade action with 25% tariffs against Canadian $155 billion worth of American goods
neutral,Trudeau says Canada intends to push back on U.S. steel and aluminum tariffs,Prime Minister Justin Trudeau says Ottawa will work to convince U.S. President Donald Trump that his steel and aluminum tariffs will hurt both countries.
neutral,"FIRST READING: The Trump cabinet really, really hates Trudeau",U.S. administrations usually don't have strong opinions about Canada. Not this time.
