attitude,title,description
neutral,"Sophie Gr‚goire Trudeau Breaks Silence on Justin Trudeau, Katy Perry Romance","Justin Trudeau?s estranged wife Sophie Gr‚goire Trudeau spoke about her ex?s life in the public eye following their separation in 2023, including his rumor..."
neutral,Former Canadian PM Trudeau visits Valais mountains,Former Canadian Prime Minister Justin Trudeau explores Zermatt with his son.
positive,Justin Trudeau Is a KatyCat,Former Canadian prime minister Justin Trudeau gleefully sang along to ?Firework? at Katy Perry?s ?Lifetimes? tour stop in Montreal.
neutral,"What? Justin Trudeau reunites with ex-wife Sophie Gr‚goire Trudeau and kids, after pictures with Katy Perry go viral-- Here's why","Justin Trudeau is reportedly dating Katy Perry, with intimate yacht photos fueling romance rumors. Amidst this, he reunited with ex-wife Sophie Gr‚goi"
neutral,Justin Trudeau and Katy Perry Dating Rumor,Justin Trudeau and Katy Perry Dating Rumor refers to a rumored relationship between former Canadian Prime Minister Justin Trudeau and American pop singer K
neutral,Are Katy Perry and Justin Trudeau dating?,Photos of pop star and ex Canadian PM getting cosy on a yacht spark social media frenzy
negative,Justin Trudeau: Justin Trudeau trolled for 2011's 'porn site QR code problem' post. Here's what happened back then,US News: Canadian Prime Minister Justin Trudeau's 2011 social media post about a QR code mishap resurfaced amidst criticism of his attendance at a Taylor Swift
positive,Katy Perry Reportedly Finds Justin Trudeau ?Attractive?,"A new report concerning dating rumors surrounding Justin Trudeau and Katy Perry has emerged. It alleges the pair has an ""easy connection."""
neutral,Diplo Trolls Internet With Suspicious Justin Trudeau Selfie,"Diplo shares a selfie with Justin Trudeau and Katy Perry, as a playful jab at his former flame and her new partner."
neutral,"Katy Perry, Justin Trudeau Seen Kissing on Yacht",Pop star Katy Perry and former Canadian Prime Minister Justin Trudeau were seen engaging in some hot and heavy PDA while on the
neutral,Justin Trudeau & Katy Perry: Romance rumours heat up,"Pictures of former Canada PM Justin Trudeau and pop star Katy Perry kissing on a yacht go viral, fueling romance rumours. Read more at straitstimes.com."
neutral,Katy Perry Soft-Launched Justin Trudeau on Instagram,"About six months after she hard-launched into space, Katy Perry soft-launched her relationship with Justin Trudeau in a blink-and-you?ll-miss-it cameo in a vi..."
neutral,Justin Trudeau 'crazy' about 'perfect' Katy Perry,"Justin Trudeau 'crazy' about 'perfect' Katy Perry, sources tell Page Six. The pair were recently seen on their first public date in Paris."
neutral,"Katy Perry, Justin Trudeau Spotted Kissing on Yacht",The popstar and former Canadian Prime Minister appear to have confirmed dating rumours
neutral,Katy Perry Spotted With Justin Trudeau,"Katy Perry was seen dining and bar-hopping in Montreal with Justin Trudeau, sparking dating rumors just weeks after her split from Orlando Bloom. Here?s every..."
