attitude,title,description
negative,Canada?s Justin Trudeau resigns,The resignation of Justin Trudeau comes amid the worst political crisis of his nine-year term as Canada?s prime minister
negative,Canada's Trudeau announces resignation,Canadian Prime Minister Justin Trudeau is stepping down after nearly a decade in office
negative,Canada's Prime Minister Justin Trudeau resigns,"In power since 2015, Trudeau said he would resign after a new leader of his Liberal Party is chosen."
negative,Canadian PM Justin Trudeau Announces his Resignation,"Canadian Prime Minister Justin Trudeau has announced his resignation, telling the nation that ?internal battles? mean he ?cannot be the best option? in ..."
negative,Watch: Profile | Canadian Prime Minister Justin Trudeau,"Justin Trudeau resigned as Canada?s Prime Minister and Liberal Party leader on January 6th, 2025. His announcement came amid rising discontent over his leader..."
negative,Trudeau may quit as Canadian PM ? media,Justin Trudeau is reportedly expected to step down as Liberal Party leader due to policy disputes
negative,Trudeau removes himself from the equation,"In announcing his intention to step away now, the prime minister creates two challenges ?ÿone for himself and one for his successor."
negative,Is Justin Trudeau about to resign?,"Over the last two weeks, Prime Minister Justin Trudeau has faced new and growing calls to resign. Could he finally step down this week?"
negative,Canada's PM Justin Trudeau to step down,The embattled prime minister will leave office once a new leader is chosen.
negative,Trudeau exit shakes up Canadian politics,"OTTAWA - Justin Trudeau is resigning after more than nine years as Canada?s prime minister, bowing to dreadful polls and a rebellion within his governing Libe..."
negative,"Trudeau prorogues Parliament, resigns as Liberal Party leader",Conservative Leader Pierre Poilievre has repeatedly stated that Trudeau lost government control and repeated calls for an election.
negative,"Justin Trudeau: The Good, the Bad, and the Ugly","By quitting, Trudeau might just save the Liberals from an epic electoral disaster."
negative,Canada?s PM Justin Trudeau Announces Resignation,The Canadian leader's popularity was seriously damaged by the recent resignation of former Deputy Prime Minister Chrystia Freeland of Toronto.
negative,Trudeau goneburger,"Canadian PM Justin Trudeau is resigning this week, in advance of a no confidence vote in his Government he was going to lose. The majority of his MPs had called..."
negative,Canadian 'Governor' Trudeau Mocked After Announcing Plans to Resign,Americans soundly mocked Canadian Prime Minister Justin Trudeau on Monday after he announced plans to resign his post.
negative,Ten (Other) Times Justin Trudeau Could Have Stepped Down,There have been a lot of scandals
negative,Trudeau resigns as Liberal Party leader after growing pressure,Canadian Prime MinisterÿJustin Trudeauÿannounced his resignation on Jan. 6 in theÿface of rising discontentÿover his leadership and after theÿabrupt depart...
