title	description	snippet
Trump mocks Justin Trudeau, calls him 'Governor of the great state of Canada'	Washington: US President-elect Donald Trump took a jab at Canadian Prime Minister Justin Trudeau on the social media platform Truth Social, describing him as th...	Washington: US President-elect Donald Trump took a jab at Canadian Prime Minister Justin Trudeau on the social media platform Truth Social, describing him as th...
“Addicted To Powerful Men”: Katy Perry And Justin Trudeau Get Cozy On A Yacht In Steamy New Pics	“Justin could. not. stop grinning.	"ADVERTISEMENT

It’s official; singer Katy Perry and former Canadian Prime Minister Justin Trudeau are intimate—as can be seen from a recent steamy make out ..."
How comedian Mark Critch landed the only year-end interview with Justin Trudeau	The prime minister spoke about whether or not he'd resign and his father’s political trajectory in a now exclusive conversation with Critch.	"The Current 19:45 How Mark Critch got an accidental exclusive with Justin Trudeau

Mark Critch says it was pure luck and good timing that he, the self-titled ""c..."
Trump Bullies Justin Trudeau Over Tariffs in Weird Rant	Donald Trump doubled down on the tariffs in a confusing reversal.	“Justin Trudeau, of Canada, called me to ask what could be done about Tariffs,” Trump posted on Truth Social Wednesday. “I told him that many people have ...
Justin Trudeau hasn't met Katy Perry's friends yet; prediction markets doubt engagement in 2025	US News: Prediction markets like Polymarket and Kalshi saw a rise in online betting on Justin Trudeau and Katy Perry's relationship as the duo walked hand in h.	"Justin Trudeau, Katy Perry appeared hand-in-hand at Katy's birthday party in Paris.





Prediction markets like Polymarket and Kalshi saw a rise in online bett..."
Trudeau set to visit King Charles before flying home to Ottawa after security summit	LONDON — Prime Minister Justin Trudeau planned to meet with King Charles today before leaving London for Ottawa. Trudeau was in London for a weekend security ...	"LONDON — Prime Minister Justin Trudeau planned to meet with King Charles today before leaving London for Ottawa.

Trudeau was in London for a weekend security..."
Trudeau set to meet with King Charles before returning to Ottawa after security summit	Trudeau said he would raise matters with the King that are most important to Canadians, adding that Canada's sovereignty and independence seem to be atop the pu...	"Prime Minister Justin Trudeau planned to meet with King Charles today before leaving London for Ottawa.

Trudeau was in London for a weekend security summit, ma..."
Justin Trudeau resigns: How will it impact B.C.? And other questions	Here's what to know about Trudeau's resignation and how it might impact B.C.	"This advertisement has not loaded yet, but your article continues below.

Justin Trudeau resigns: How will it impact B.C.? And other questions Here's what to kn..."
Katy Perry reportedly 'very happy' in her romance with Justin Trudeau: 'She's really into it'	Katy Perry is reportedly dating former Canadian Prime Minister Justin Trudeau, according to Us Weekly sources. The pair were photographed together in July and O...	"Katy Perry and Justin Trudeau photographed together multiple times

Live Events

Perry addresses dating during London concert

Katy Perry split from Orlando Blo..."
😬 “She Thought It Was a Date!” Katy Perry Mortified After Justin Trudeau Crushes Romance Rumors	It began casually: Perry, Trudeau, and Perry’s adorable therapy pup Nugget were photographed strolling through Mount Royal Park in Montreal. They laughed, cha...	Hold onto your opera-glass, readers—because Katy Perry may’ve just discovered that in diplomacy, intent matters more than optics. After a cozy walk and dinn...
Premiers call for urgent meeting with Trudeau to discuss Canada-U.S. relations	Canada’s premiers say they want to meet with Prime Minister Justin Trudeau “as soon as possible” to discuss the Canada-U.S. relationship.	"Canada's premiers say they want to meet with Prime Minister Justin Trudeau ""as soon as possible"" to discuss the Canada-U.S. relationship.

In a letter to Trudea..."
Katy Perry and Former Canadian Prime Minister Justin Trudeau Go to Dinner	Katy Perry and former Canadian Prime Minister Justin Trudeau were spotted dining together in Canada amid her 'Lifetimes Tour'	"Katy Perry and former Canadian Prime Minister Justin Trudeau were spotted dining together.

In footage obtained by TMZ, the twosome sat at a table inside restau..."
Poilievre defends RCMP comments, denies saying Trudeau should be in jail - National	On Wednesday, Poilievre said he thinks there were some scandals during Trudeau's time in office that should have resulted in criminal charges.	"Send this page to someone via email

Conservative Leader Pierre Poilievre defended his comments about the RCMP Wednesday and denied saying former prime minister..."
Poilievre defends RCMP comments and denies saying Trudeau should be in jail	Conservative Leader Pierre Poilievre defended his comments about the RCMP on Wednesday and denied saying former prime minister Justin Trudeau should be in jail.	"Conservative Leader Pierre Poilievre defended his comments about the RCMP Wednesday and denied saying former prime minister Justin Trudeau should be in jail.

""..."
Katy Perry And Justin Trudeau Hard Launch Relationship With First Public Outing	After months of speculation, the pop star and Canadian politician have confirmed their relationship.	"LOADING ERROR LOADING

Katy Perry and Justin Trudeau just popped out together for their first joint public appearance.

The pop superstar, 41, and the former pr..."
Trudeau says call with Trump was 'colourful' and warns trade war will continue for 'foreseeable future'	"Prime Minister Justin Trudeau said Thursday that his phone call with U.S. President Donald Trump was ""colourful"" with moments of tension as the two hashed out h..."	"Prime Minister Justin Trudeau said on Thursday that his phone call with U.S. President Donald Trump was ""colourful"" with moments of tension as the two hashed ou..."
FIRST READING: Harper unloads on Trudeau, Trump in uncharacteristic interview	Until this moment, the ex-prime minister has been quite judicious about avoiding public criticism of his successor	"This advertisement has not loaded yet, but your article continues below.

FIRST READING: Harper unloads on Trudeau, Trump in uncharacteristic interview Until th..."
Trudeau says US tariff war to drag on, Bessent calls him a 'numbskull'	OTTAWA (Reuters) -Canada will be in a trade war with the United States for the foreseeable future, Prime Minister Justin Trudeau said on Thursday, speaking shor...	"By David Ljunggren and Promit Mukherjee

OTTAWA (Reuters) -Canada will be in a trade war with the United States for the foreseeable future, Prime Minister Justi..."
Katy Perry And Justin Trudeau Caught Kissing On A Yacht Amid Dating Rumours, Almost Confirm Relationship!	Katy Perry and actor Orlando Bloom ended their engagement after nearly a decade together.	New Delhi: Pop icon Katy Perry and former Canadian Prime Minister Justin Trudeau have set the rumours about their dating each other on fire. After being spotted...
Canada PM Trudeau visits Florida to meet with Trump amid tariff threat	Canadian Prime Minister Justin Trudeau visited Donald Trump's Florida resort on Friday to meet with the U.S. President-elect, days after Trump threatened to sla...	Canadian Prime Minister Justin Trudeau visited Donald Trump's Florida resort on Friday to meet with the U.S. President-elect, days after Trump threatened to sla...
Canada PM Trudeau visits Florida to meet with Trump amid tariff threat	Canadian Prime Minister Justin Trudeau visited Donald Trump's Florida resort Friday to meet with the U.S. president-elect, days after Trump threatened to slap t...	Canadian Prime Minister Justin Trudeau visited Donald Trump's Florida resort Friday to meet with the U.S. president-elect, days after Trump threatened to slap t...
Trump’s Return Could Make Trudeau Look Smaller than Ever	Polls suggest the former president’s comeback won’t revive Liberal fortunes	The road ahead will not get any easier for the Trudeau Liberals. With Donald Trump set to retake residence in the White House in January—likely backed by Repu...
Most Canadians now want early election as Trudeau support drops again: poll - National	Ipsos polling done exclusively for Global News was released Friday and shows over half of Canadians believe there should be an early election.	As the Liberal government grapples with political upheaval following the exit of Chrystia Freeland from the federal cabinet, a new Ipsos poll shows most Canadia...
Trudeau Resigns After Nine Years in Power as Liberals Force Him Out	Prime Minister Justin Trudeau is resigning after more than nine years leading Canada, bowing to sagging approval numbers and a rebellion within his political pa...	"This advertisement has not loaded yet, but your article continues below.

Trudeau Resigns After Nine Years in Power as Liberals Force Him Out Prime Minister Jus..."
Trump to Speak with Trudeau as U.S.-Canada Tariff War Looms	President Donald Trump will speak with Canadian Prime Minister Justin Trudeau on Monday afternoon before tariffs take effect Tuesday.	President Donald Trump will speak with Canadian Prime Minister Justin Trudeau on Monday afternoon before the reciprocal 25 percent tariffs between the United St...
Scandalous affairs of world leaders: From Justin Trudeau to Bill Clinton– 5 shocking political romances	Power, politics, and passion often collide — and history has proven that even the most powerful aren’t immune to matters of the heart. From secret romances ...	Former Canadian PM Justin Trudeau and singer Katy Perry have sparked fresh romance rumours after being spotted cozying up on a yacht off Santa Barbara, Californ...
Smitten Justin Trudeau spotted in crowd at Katy Perry's concert with his daughter after viral date	A photo circulating on social media purports to show Justin watching Katy's latest show with his daughter Ella Grace, 16, by his side.	"In a move certain to get people talking, Justin Trudeau has now been spotted attending Katy Perry's concert just days after their unlikely date.

Various posts ..."
Trudeau using tariff issue to ‘run again for PM,’ claims Trump: ‘Terrible job for Canada’	US News: The ongoing US-Canada trade dispute took a dramatic turn as President Donald Trump accused Canadian Prime Minister Justin Trudeau of using the tariff .	"US President Donald Trump and Canada Prime Minister Justin Trudeau

The ongoing US-Canada trade dispute took a dramatic turn as President Donald Trump accused C..."
Trudeau travels to Florida in wake of Donald Trump's tariff threat	Prime Minister Justin Trudeau's plane has landed at Palm Beach International Airport, which is used by Donald Trump when the U.S. president-elect travels to his...	Prime Minister Justin Trudeau's plane has landed at Palm Beach International Airport, which is used by Donald Trump when the U.S. president-elect travels to his...
Here’s What Justin Trudeau Did After He & Katy Perry Spent Time in Montreal, Says Source	Justin Trudeau and Katy Perry’s rumored relationship appears to be heating up, as he's “been pursuing her” since their meeting in Montreal.	Katy Perry and former Canadian Prime Minister Justin Trudeau’s rumored relationship appears to be gaining momentum. The duo, who were first romantically linke...
Canada PM Trudeau in Florida to meet Trump as tariff threats loom	Biden warns that Trump’s tariff threats could “screw up” US's relationships with Ottawa, Mexico City.	Canadian Prime Minister Justin Trudeau travelled to Florida on Friday for a dinner with Donald Trump at the president-elect’s Mar-a-Lago estate, as the incomi...
Trudeau contemplates his future as the path narrows for him to remain prime minister	Trudeau's decision to demote Chrystia Freeland appears to have backfired spectacularly, igniting a chorus of calls for him to resign, including from several Lib...	"Prime Minister Justin Trudeau is considering his options after Chrystia Freeland's bombshell resignation Monday heightened calls for him to step down.

Freeland..."
Orlando Bloom Reacts to Katy Perry and Justin Trudeau Dating Rumors	Orlando Bloom reacted to a satirical article jokingly linking him to Angela Merkel as Katy Perry and Justin Trudeau spark dating speculation	Orlando Bloom appears to have a good sense of humor after his ex-fiancée, Katy Perry, was spotted with former Canadian prime minister Justin Trudeau, fueling s...
Sophie Trudeau says she has learnt not to cling to ‘relationships’ after split with PM	Sophie Grégoire Trudeau has “learnt to cut ties” and “not cling to relationships” after the break-up of her marriage to the prime minister of Canada.	"Sophie Trudeau is determined not to put pressure on her three children to enter politics - Anna Moneymaker/Getty Images North America

Yahoo is using AI to gene..."
Trudeau appears on CNN to make case against tariffs to American audience	For the first time since U.S. president-elect Donald Trump threatened hefty tariffs on Canadian goods, Prime Minister Justin Trudeau took his argument against t...	For the first time since U.S. president-elect Donald Trump threatened hefty tariffs on Canadian goods, Prime Minister Justin Trudeau took his argument against t...
Some Liberal MPs repeat calls for Trudeau to quit after Freeland debacle — but he still has defenders	Some Liberal MPs said Tuesday Prime Minister Justin Trudeau can't carry on as party leader after the humiliation of Chrystia Freeland's public resignation from ...	Some Liberal MPs said Tuesday Prime Minister Justin Trudeau can't carry on as party leader after the humiliation of Chrystia Freeland's public resignation from ...
Canada's PM Justin Trudeau 'likely' to announce resignation, reports say	While sources say no final decision has been made, some are reporting that Mr Trudeau could announce his resignation as early as today.	"Canadian Prime Minister Justin Trudeau is likely to announce his resignation in the coming days, according to reports.

Sources have told Reuters news agency an..."
Trudeau Caught on Hot Mic Revealing Trump’s Plans for Canada	Canadian Prime Minister Justin Trudeau told business leaders that U.S. President Donald Trump’s interest in annexing Canada was a very real plan aimed at cont...	Canadian Prime Minister Justin Trudeau told business leaders that U.S. President Donald Trump’s interest in annexing Canada was a very real plan aimed at cont...
